challenge,source,frequency_pct,n,ci_lower,ci_upper,ci_width
Analogical Mismatch,survey,34.6,52,23.1,48.2,25.1
Analogical Mismatch,online,23.9,197,18.5,30.3,11.8
Over-simplification,survey,26.9,52,16.8,40.2,23.4
Over-simplification,online,19.3,197,14.4,25.4,11.0
Cognitive Overhead,survey,23.1,52,13.7,36.2,22.5
Cognitive Overhead,online,14.7,197,10.4,20.3,9.9
Context Decay,survey,17.3,52,9.4,29.7,20.3
Context Decay,online,12.2,197,8.3,17.5,9.2
Sycophancy Amplification,survey,13.5,52,6.7,25.3,18.6
Sycophancy Amplification,online,7.6,197,4.7,12.2,7.5
